Student ID,Study Hours per Week,Attendance Rate,Previous Grades,Participation in Extracurricular Activities,Parent Education Level,Result
103,0,77,54,Yes,Bachelor,Pass
104,6,88,52,No,High School,Fail
105,9,45,71,Yes,Doctorate,Pass
106,12,92,77,Yes,Doctorate,Pass
107,19,52,47,Yes,Associate,Pass
108,11,95,66,Yes,Master,Pass
109,11,0,63,No,Associate,Pass
110,10,38,58,Yes,Master,Pass
111,0,90,51,Yes,High School,Fail
112,10,95,82,Yes,Bachelor,Fail
113,10,100,50,No,High School,Pass
114,22,60,46,Yes,Associate,Fail
115,9,79,82,Yes,Associate,Pass
116,12,89,68,No,High School,Pass
117,10,90,47,Yes,Associate,
118,4,83,64,No,Doctorate,Pass
119,16,66,56,,Bachelor,Pass
120,14,95,87,Yes,Doctorate,Pass
121,14,95,61,No,,Pass
122,6,72,73,No,High School,Pass
123,17,59,65,Yes,Doctorate,Fail
124,3,0,87,No,Doctorate,Fail
125,13,102,68,No,Bachelor,Pass
126,21,94,82,Yes,Bachelor,Fail
127,0,75,73,No,Associate,Fail
128,7,71,57,No,Doctorate,Pass
129,10,40,65,Yes,Master,Pass
130,8,73,62,No,Master,Pass
131,2,51,56,Yes,High School,Fail
132,10,78,49,No,Bachelor,Fail
133,5,99,85,No,Master,Pass
134,12,55,34,No,Bachelor,Fail
135,5,80,85,No,High School,Fail
136,18,95,45,Yes,Doctorate,Pass
137,6,79,73,No,Associate,Pass
138,8,64,56,Yes,Bachelor,Pass
139,14,75,40,No,,Pass
140,4,94,82,No,Doctorate,Pass
141,11,80,29,Yes,Associate,Pass
142,16,75,77,No,Associate,Fail
143,2,98,67,,High School,Pass
144,11,85,81,No,Bachelor,Pass
145,11,51,74,Yes,High School,Pass
146,14,88,74,Yes,Doctorate,Fail
147,4,94,78,No,Doctorate,Pass
148,3,50,0,Yes,Associate,Fail
149,13,30,0,No,High School,Fail
150,12,54,60,No,High School,Fail
151,11,73,62,Yes,Master,Pass
152,12,95,67,No,Doctorate,Pass
153,7,57,61,No,Master,
154,11,86,98,No,Bachelor,Pass
155,12,17,64,Yes,Bachelor,Fail
156,6,79,48,No,Associate,Fail
157,19,67,63,Yes,Master,Fail
158,12,117,52,No,Master,Fail
159,4,37,94,Yes,Bachelor,Pass
160,0,0,66,,Doctorate,Pass
161,5,37,74,No,Bachelor,Fail
162,14,64,73,No,Master,Pass
163,16,41,79,No,Doctorate,Pass
164,6,121,69,Yes,Doctorate,Fail
165,15,68,59,Yes,Associate,
166,12,71,66,No,High School,Fail
167,14,74,47,No,Master,Fail
168,20,52,0,Yes,Doctorate,
169,9,96,92,No,Bachelor,Fail
170,6,88,76,No,Doctorate,Fail
171,6,93,63,No,Bachelor,Fail
172,6,51,0,Yes,Master,Pass
173,10,98,56,No,High School,Fail
174,12,95,70,No,Master,Pass
175,11,70,60,Yes,Bachelor,Fail
176,14,93,62,No,Doctorate,Fail
177,10,80,71,Yes,Associate,Pass
178,17,43,74,No,Doctorate,Pass
179,9,71,62,Yes,Bachelor,Pass
180,0,65,52,Yes,Bachelor,Pass
181,13,77,92,Yes,,Pass
182,6,95,66,No,Associate,Pass
183,5,0,49,No,,Fail
184,12,66,50,Yes,Associate,Fail
185,9,59,95,No,Associate,Fail
186,14,59,102,Yes,High School,Fail
187,12,58,70,,Master,Fail
188,10,76,56,No,Doctorate,Pass
189,6,86,0,Yes,Associate,Pass
190,2,82,60,Yes,Associate,Pass
191,8,79,74,No,Master,
192,14,87,70,No,Doctorate,
193,11,123,64,No,Doctorate,Pass
194,4,78,64,Yes,Bachelor,Pass
195,11,95,62,No,Associate,Fail
196,12,94,79,No,High School,Fail
197,6,111,62,Yes,High School,Fail
198,11,86,96,No,Master,Pass
199,10,58,97,No,High School,Pass
200,0,81,59,No,Bachelor,Fail
201,12,80,60,No,Associate,Pass
202,13,91,64,Yes,Bachelor,Pass
203,15,58,55,Yes,Associate,Pass
204,15,100,78,Yes,High School,Pass
205,3,75,83,No,Master,Pass
206,5,92,84,Yes,Associate,Pass
207,13,81,62,No,Bachelor,Fail
208,13,78,62,No,Associate,Pass
209,13,80,35,No,Bachelor,Pass
210,29,0,55,Yes,Bachelor,Pass
211,13,114,51,No,Doctorate,Fail
212,16,35,48,No,Master,Fail
213,15,86,58,Yes,,
214,13,76,60,No,High School,Fail
215,8,72,65,Yes,Associate,Fail
216,14,28,85,No,Bachelor,Pass
217,6,87,82,Yes,,Fail
218,9,0,48,Yes,Doctorate,
219,8,58,71,No,Associate,Fail
220,10,76,53,Yes,Associate,Fail
221,22,69,67,Yes,Bachelor,Pass
222,1,40,0,No,High School,Pass
223,13,77,58,Yes,Bachelor,Pass
224,2,87,50,Yes,Bachelor,Pass
225,8,64,66,Yes,Associate,Pass
226,15,80,85,No,Doctorate,Pass
227,10,77,95,,Master,Pass
228,5,96,56,No,Associate,Fail
229,6,73,67,Yes,Master,Pass
230,0,91,69,Yes,High School,Pass
231,0,69,44,No,Master,Fail
232,11,114,43,Yes,High School,Fail
233,10,66,70,Yes,High School,Fail
234,7,61,59,Yes,Associate,Fail
235,21,73,44,Yes,Doctorate,Fail
236,13,60,0,Yes,High School,Pass
237,0,50,66,No,Bachelor,Fail
238,11,90,65,Yes,Master,Fail
239,7,14,49,,Master,Fail
240,14,61,39,Yes,High School,Fail
241,6,48,56,No,,Fail
242,9,78,66,Yes,Bachelor,Fail
243,12,31,54,No,Associate,Fail
244,14,86,48,No,Doctorate,Pass
245,4,0,59,Yes,Bachelor,Pass
246,8,42,66,No,Associate,Pass
247,8,79,86,,Doctorate,Fail
248,7,85,67,No,Doctorate,Pass
249,19,94,43,No,Bachelor,Pass
250,12,46,35,No,Master,Fail
251,4,43,28,No,Master,Pass
252,15,105,70,No,High School,Pass
253,21,59,49,Yes,Associate,Fail
254,15,64,72,No,Master,Fail
255,2,0,0,Yes,Associate,Pass
256,8,52,74,Yes,High School,Fail
257,16,70,62,No,Bachelor,Fail
258,6,93,93,Yes,Bachelor,Pass
259,12,47,58,No,Master,Fail
260,14,65,52,Yes,Master,Fail
261,5,52,70,Yes,Doctorate,Pass
262,10,60,77,No,Master,Pass
263,-6,99,26,Yes,High School,Pass
264,5,103,82,Yes,High School,Fail
265,9,80,41,No,Bachelor,Pass
266,4,86,34,Yes,Master,Pass
267,18,85,60,No,Associate,Fail
268,3,62,49,,Doctorate,Pass
269,8,80,71,Yes,Associate,Fail
270,11,49,70,Yes,Bachelor,Pass
271,17,56,70,Yes,Bachelor,Fail
272,3,73,83,Yes,Master,Pass
273,16,54,60,,Associate,Fail
274,10,50,70,Yes,High School,
275,0,61,40,Yes,Master,Pass
276,12,98,79,No,Doctorate,Pass
277,11,106,58,,Associate,Pass
278,7,74,61,Yes,Master,Fail
279,10,87,60,No,Doctorate,Pass
280,8,64,64,Yes,Doctorate,Fail
281,11,34,60,No,,Fail
282,13,57,32,Yes,High School,Fail
283,18,0,84,No,Bachelor,Pass
284,4,78,55,No,Associate,Pass
285,21,73,59,Yes,Doctorate,Pass
286,0,69,62,No,High School,Pass
287,9,64,73,,,Fail
288,13,82,58,No,Doctorate,Pass
289,11,48,81,No,High School,Fail
290,7,91,93,Yes,,Pass
291,9,63,90,No,Doctorate,Pass
292,8,116,69,Yes,Associate,Fail
293,7,69,56,Yes,Associate,Fail
294,14,65,56,Yes,Bachelor,Fail
295,12,64,60,No,Bachelor,Pass
296,6,66,52,Yes,High School,Pass
297,14,87,71,No,High School,Fail
298,12,74,0,No,Doctorate,Fail
299,14,95,65,Yes,Associate,Pass
300,13,84,60,Yes,Associate,Fail
301,6,76,0,No,High School,Pass
302,7,82,69,Yes,Doctorate,Fail
303,14,99,60,Yes,High School,Pass
304,13,88,63,,Bachelor,Pass
305,10,81,63,No,Bachelor,Fail
306,11,84,75,Yes,Master,Pass
307,16,52,53,No,High School,Fail
308,7,126,58,Yes,Doctorate,Pass
309,13,86,36,No,Associate,Pass
310,9,88,49,Yes,Master,Fail
311,9,0,62,Yes,Master,
312,16,29,58,No,Associate,Pass
313,14,70,36,No,Bachelor,Fail
314,14,76,73,Yes,Doctorate,Pass
315,16,58,52,Yes,Bachelor,Fail
316,10,0,41,Yes,Associate,Fail
317,13,68,70,No,Master,Fail
318,8,90,78,No,Master,Fail
319,12,100,200,Yes,Bachelor,Pass
320,9,78,75,Yes,,Fail
321,10,64,62,Yes,Doctorate,Pass
322,13,68,61,,Bachelor,Fail
323,6,77,48,Yes,High School,Pass
324,20,79,63,Yes,Doctorate,Fail
325,0,84,64,No,Master,
326,4,66,99,Yes,Master,Pass
327,16,86,73,No,Master,Fail
328,14,84,0,No,High School,Fail
329,13,67,83,Yes,High School,Pass
330,13,41,78,Yes,Associate,Pass
331,10,57,43,No,Associate,Pass
332,6,106,75,Yes,Bachelor,Pass
333,10,41,66,Yes,High School,Pass
334,7,101,54,No,Associate,Fail
335,15,40,50,No,Master,Pass
336,9,60,63,Yes,Associate,Pass
337,6,68,65,Yes,Associate,Pass
338,8,111,82,Yes,High School,Fail
339,12,76,31,Yes,Doctorate,Fail
340,7,71,46,Yes,Doctorate,Pass
341,6,56,68,No,Associate,Pass
342,11,85,63,No,Bachelor,Fail
343,11,65,67,,Associate,Pass
344,8,70,58,Yes,Master,Fail
345,8,68,69,,Master,Pass
346,11,89,41,Yes,Associate,Pass
347,3,90,96,No,Bachelor,Fail
348,3,57,71,No,Master,Fail
349,6,62,72,No,Bachelor,Fail
350,9,60,49,No,Master,Fail
351,12,79,0,Yes,High School,Fail
352,17,93,73,No,Associate,Fail
353,14,79,60,Yes,Bachelor,Fail
354,9,31,69,Yes,Bachelor,Fail
355,10,0,53,Yes,Bachelor,Pass
356,5,48,45,Yes,Associate,Pass
357,10,61,82,Yes,High School,Pass
358,9,79,52,No,,Fail
359,12,73,79,Yes,Master,Fail
360,6,92,52,No,Doctorate,Pass
361,13,63,0,No,Bachelor,Pass
362,18,56,59,Yes,Doctorate,Fail
363,10,69,62,No,High School,Fail
364,12,94,76,Yes,Master,Pass
365,14,88,90,Yes,Associate,Fail
366,0,77,62,No,Master,Fail
367,-1,102,67,No,,Fail
368,10,98,61,Yes,Doctorate,Fail
369,10,91,66,Yes,Master,Pass
370,0,51,54,No,Master,Fail
371,10,91,50,No,Doctorate,Pass
372,12,71,70,,High School,Pass
373,17,0,68,Yes,Bachelor,Pass
374,15,0,82,No,Associate,Pass
375,21,72,66,No,Bachelor,Pass
376,6,62,64,No,High School,Pass
377,14,78,73,No,Associate,Fail
378,11,72,200,Yes,,Pass
379,21,79,63,No,Doctorate,Fail
380,6,86,26,Yes,Associate,Fail
381,6,69,49,No,Associate,Fail
382,7,60,81,Yes,High School,Fail
383,-1,35,0,Yes,Master,Pass
384,7,90,85,No,Associate,Pass
385,6,77,58,Yes,Associate,Fail
386,11,72,60,No,Doctorate,Fail
387,12,98,76,No,Bachelor,Pass
388,19,49,74,Yes,Doctorate,Fail
389,0,76,0,Yes,Bachelor,Pass
390,7,56,66,Yes,Bachelor,Pass
391,6,88,64,No,Associate,Fail
392,12,30,48,Yes,High School,Fail
393,3,91,56,No,Bachelor,Fail
394,19,90,69,Yes,Master,Pass
395,16,56,62,No,High School,Fail
396,8,76,79,No,High School,Fail
397,0,57,91,Yes,Master,Fail
398,17,84,79,Yes,Bachelor,Pass
399,9,91,72,Yes,Bachelor,
400,16,55,63,Yes,Doctorate,
401,2,49,77,No,Doctorate,
402,7,97,56,Yes,Bachelor,Fail
403,0,114,57,Yes,Associate,Fail
404,10,85,46,No,Doctorate,Fail
405,8,86,42,Yes,Associate,Fail
406,13,0,84,No,,Pass
407,5,79,69,Yes,Master,Fail
408,9,82,73,No,Associate,Fail
409,11,71,63,Yes,Doctorate,Fail
410,13,0,93,No,Associate,Pass
411,14,78,91,No,,Pass
412,4,81,65,Yes,Master,Pass
413,2,72,65,No,Doctorate,Fail
414,0,74,62,Yes,Doctorate,Pass
415,12,0,48,Yes,Bachelor,Pass
416,6,78,59,No,Bachelor,Fail
417,18,78,60,Yes,High School,Pass
418,11,79,32,Yes,Bachelor,Fail
419,16,68,31,Yes,Bachelor,Fail
420,10,47,64,No,Bachelor,Pass
421,20,106,78,No,Bachelor,Pass
422,19,0,53,No,,Pass
423,9,100,91,Yes,Bachelor,Fail
424,15,54,61,No,Bachelor,Pass
425,13,104,52,Yes,High School,Fail
426,17,114,44,Yes,Doctorate,Pass
427,5,96,66,No,Associate,Fail
428,0,108,35,Yes,Associate,Pass
429,0,91,54,No,,Pass
430,1,58,66,No,High School,Fail
431,4,0,44,No,Associate,Pass
432,0,0,57,No,Doctorate,Fail
433,9,63,65,Yes,Master,Pass
434,14,81,47,No,Associate,Pass
435,18,79,75,Yes,Bachelor,
436,0,84,79,Yes,Master,Pass
437,18,39,0,,High School,Pass
438,3,0,62,Yes,Associate,
439,2,86,63,Yes,High School,Pass
440,10,90,70,Yes,Bachelor,Fail
441,12,91,60,Yes,Bachelor,Pass
442,10,80,54,Yes,High School,Pass
443,0,67,49,No,Bachelor,Fail
444,10,85,0,No,Bachelor,Pass
445,4,69,56,Yes,Master,Fail
446,13,93,0,No,,Fail
447,12,84,81,Yes,Doctorate,Pass
448,5,74,67,No,Associate,Fail
449,7,60,50,No,,Fail
450,5,97,0,Yes,High School,
451,10,86,50,Yes,Bachelor,Fail
452,15,117,0,Yes,High School,Fail
453,-1,86,57,No,Associate,Pass
454,12,87,62,No,High School,Fail
455,7,46,56,No,Associate,Pass
456,6,81,0,Yes,Bachelor,Pass
457,10,69,75,No,Master,Pass
458,5,92,54,No,Doctorate,Pass
459,7,82,62,No,Master,Fail
460,4,95,58,No,Associate,Pass
461,20,118,50,Yes,Master,Pass
462,10,59,67,No,Doctorate,Fail
463,6,94,37,No,Associate,Fail
464,11,89,51,Yes,High School,Pass
465,9,115,0,No,Doctorate,Fail
466,9,89,51,Yes,Doctorate,Fail
467,13,87,49,No,High School,Fail
468,14,92,0,Yes,,Fail
469,7,93,61,Yes,High School,Pass
470,7,104,59,No,Associate,Pass
471,9,59,65,No,Master,Fail
472,-2,67,68,No,Bachelor,Fail
473,2,110,71,Yes,Master,Pass
474,17,36,53,Yes,Master,Pass
475,18,73,66,Yes,Doctorate,Fail
476,9,78,61,Yes,High School,Fail
477,13,72,63,Yes,Associate,Pass
478,12,107,58,No,High School,Fail
479,25,84,53,No,High School,Pass
480,16,67,61,,Master,Pass
481,9,62,58,Yes,Master,Fail
482,5,81,70,Yes,Master,Pass
483,2,98,79,No,High School,Pass
484,11,0,51,Yes,Bachelor,Fail
485,0,72,57,Yes,Doctorate,Pass
486,3,61,100,Yes,Bachelor,Fail
487,7,82,38,No,Associate,Fail
488,5,81,41,,High School,Pass
489,18,60,81,Yes,Master,Fail
490,14,96,94,No,Associate,Pass
491,10,109,87,No,Associate,Fail
492,17,76,70,No,Doctorate,Pass
493,10,81,58,Yes,Master,Fail
494,6,53,61,No,Associate,Pass
495,18,90,71,Yes,Bachelor,Fail
496,0,84,79,Yes,Doctorate,Pass
497,5,68,73,Yes,Doctorate,Pass
498,9,60,35,Yes,,Fail
499,6,112,47,Yes,High School,Fail
500,3,83,69,Yes,Bachelor,Pass
501,15,57,44,Yes,Doctorate,
502,20,92,0,Yes,Master,Fail
503,3,80,78,Yes,Master,Pass
504,13,76,69,Yes,Bachelor,Pass
505,7,95,88,Yes,Associate,Fail
506,8,0,80,,Doctorate,Fail
507,7,0,56,Yes,Doctorate,Pass
508,6,103,69,Yes,Doctorate,Fail
509,10,72,53,No,Associate,Pass
510,6,66,41,Yes,Doctorate,Pass
511,11,48,83,No,Master,Pass
512,10,79,62,No,Doctorate,Pass
513,9,81,85,No,High School,Fail
514,6,104,67,Yes,Associate,Fail
515,7,82,69,No,Doctorate,Pass
516,14,69,74,Yes,Doctorate,Fail
517,12,83,62,No,Bachelor,Fail
518,5,97,61,,Doctorate,Pass
519,10,93,69,Yes,Master,Fail
520,14,87,84,No,Master,Pass
521,2,80,73,Yes,Bachelor,
522,13,63,65,Yes,High School,Pass
523,7,54,59,No,High School,Fail
524,13,51,63,No,High School,Pass
525,6,83,52,Yes,Bachelor,Pass
526,1,85,50,Yes,Bachelor,Fail
527,2,97,61,No,Master,Fail
528,10,86,65,Yes,Associate,
529,11,96,76,No,Associate,Pass
530,6,72,48,No,High School,Fail
531,13,90,65,Yes,Associate,Pass
532,2,55,0,Yes,Doctorate,Fail
533,10,74,50,No,High School,Pass
534,4,0,58,No,Master,Fail
535,7,76,76,No,Associate,Fail
536,10,100,64,Yes,Bachelor,Pass
537,6,76,35,No,Associate,Fail
538,8,89,77,Yes,Master,Fail
539,15,80,66,Yes,High School,Pass
540,7,64,0,Yes,Master,Fail
541,0,71,52,No,Doctorate,Pass
542,4,99,63,Yes,High School,Fail
543,13,89,70,Yes,Master,Fail
544,17,63,80,No,Associate,Pass
545,-2,47,52,Yes,Doctorate,Fail
546,6,79,58,Yes,Doctorate,Pass
547,13,63,78,Yes,Associate,Pass
548,9,72,81,Yes,High School,Pass
549,12,46,60,Yes,,Pass
550,7,0,57,No,High School,Fail
551,10,73,72,No,Bachelor,Pass
552,9,76,0,No,,Pass
553,16,58,65,No,Master,Fail
554,11,70,65,No,Associate,Pass
555,12,77,58,Yes,Doctorate,
556,8,63,72,No,High School,Fail
557,8,71,81,No,Bachelor,Fail
558,8,103,50,No,High School,Pass
559,12,40,54,No,High School,Pass
560,0,79,75,Yes,Bachelor,Fail
561,11,59,43,No,High School,Pass
562,20,102,57,No,Associate,Pass
563,14,71,98,No,High School,Pass
564,8,54,0,No,Bachelor,Fail
565,16,0,61,Yes,High School,Pass
566,8,82,39,No,Associate,Pass
567,0,0,0,No,,Pass
568,5,33,81,Yes,Master,Fail
569,1,51,48,No,Doctorate,Fail
570,8,101,66,No,High School,Pass
571,10,45,84,Yes,High School,Fail
572,18,75,58,No,High School,Pass
573,12,65,58,Yes,Associate,Pass
574,9,62,75,Yes,Doctorate,Pass
575,14,0,85,No,Bachelor,Pass
576,-1,68,78,No,Master,Pass
577,11,0,87,Yes,Associate,Fail
578,14,102,30,Yes,Bachelor,Pass
579,3,84,71,No,Master,Fail
580,16,70,84,No,Doctorate,
581,12,80,72,No,Bachelor,Fail
582,8,91,63,Yes,Doctorate,Fail
583,13,95,47,No,High School,
584,21,82,54,No,,Fail
585,11,106,88,Yes,High School,Fail
586,11,63,200,Yes,Associate,Pass
587,8,98,56,No,Bachelor,Fail
588,6,89,42,No,,Pass
589,14,63,72,No,Bachelor,Pass
590,6,80,53,Yes,Doctorate,Pass
591,10,81,64,Yes,High School,Pass
592,8,72,91,Yes,Master,Pass
593,12,72,77,No,,Fail
594,0,44,85,No,Bachelor,Fail
595,15,61,67,No,Bachelor,Fail
596,7,70,76,,Associate,Pass
597,9,0,85,No,Associate,Fail
598,5,58,53,No,Master,Pass
599,8,96,64,No,High School,Fail
600,12,73,55,No,Doctorate,Fail
601,14,118,56,No,Associate,Pass
602,5,80,63,No,High School,Fail
603,14,96,51,Yes,Bachelor,Pass
604,17,71,59,Yes,Doctorate,Fail
605,12,62,75,Yes,Doctorate,Pass
606,19,80,64,Yes,,Fail
607,6,101,53,No,Doctorate,Pass
608,4,73,77,No,Associate,Fail
609,1,84,51,Yes,Associate,
610,18,80,48,No,,Pass
611,13,73,83,Yes,,Fail
612,10,74,78,Yes,High School,Fail
613,11,55,60,No,Doctorate,Fail
614,4,75,93,Yes,Doctorate,Fail
615,22,88,56,No,,Pass
616,11,81,75,No,Master,Fail
617,10,79,41,Yes,Doctorate,Fail
618,14,90,50,No,Master,Pass
619,12,79,0,Yes,Bachelor,
620,11,75,86,Yes,High School,
621,6,90,63,Yes,Doctorate,Fail
622,12,78,99,Yes,Doctorate,
623,19,70,85,Yes,Master,Fail
624,17,84,55,Yes,Master,Fail
625,18,74,59,No,Bachelor,Pass
626,7,69,44,No,Master,Fail
627,5,78,58,No,Doctorate,Fail
628,9,78,69,Yes,Doctorate,Pass
629,10,53,66,No,Master,Pass
630,16,82,66,No,Associate,
631,2,112,80,No,High School,Fail
632,18,55,68,Yes,Master,Fail
633,0,65,75,Yes,Doctorate,Pass
634,8,131,72,Yes,Master,
635,0,59,69,No,Master,Pass
636,2,101,79,Yes,Master,Fail
637,14,70,77,Yes,High School,Fail
638,10,76,200,No,Master,Pass
639,4,0,92,Yes,Master,Pass
640,4,84,67,No,Associate,Pass
641,8,43,51,No,,Pass
642,18,79,64,No,Doctorate,Pass
643,0,67,69,Yes,Doctorate,Pass
644,2,38,74,No,Associate,Pass
645,9,97,79,No,Bachelor,
646,0,33,76,,Associate,Fail
647,-4,118,93,No,Doctorate,Fail
648,10,87,67,Yes,Bachelor,Fail
649,9,48,63,Yes,Bachelor,Pass
650,14,102,43,No,High School,Fail
651,19,60,80,No,Bachelor,
652,16,61,74,No,Associate,Pass
653,0,39,56,Yes,High School,Pass
654,4,58,69,No,Master,Pass
655,23,60,65,Yes,High School,Pass
656,10,91,68,No,Bachelor,Fail
657,10,98,61,No,High School,Pass
658,10,50,67,No,Doctorate,Fail
659,0,80,42,Yes,Master,Fail
660,9,38,59,No,Master,Pass
661,7,80,70,No,Doctorate,Pass
662,7,118,0,No,,Pass
663,10,39,71,No,Associate,Pass
664,7,55,96,Yes,High School,Pass
665,6,90,0,No,High School,Fail
666,10,92,38,Yes,Bachelor,Pass
667,9,56,83,No,Associate,Fail
668,18,104,96,No,Bachelor,Pass
669,-3,59,71,Yes,Associate,Pass
670,16,108,65,No,Master,Fail
671,16,84,55,Yes,Associate,Fail
672,0,100,73,No,Bachelor,Pass
673,8,82,65,No,High School,Pass
674,0,88,78,No,Master,Fail
675,3,89,39,No,Doctorate,Fail
676,6,0,70,Yes,Bachelor,Fail
677,4,0,52,Yes,Master,Pass
678,19,57,79,Yes,Master,Fail
679,15,73,48,No,Associate,Pass
680,16,62,74,Yes,Associate,Pass
681,14,63,56,Yes,High School,
682,4,108,58,No,Master,Pass
683,7,88,78,Yes,Doctorate,Pass
684,12,86,0,No,Associate,Pass
685,4,96,42,Yes,Bachelor,Fail
686,14,87,66,Yes,High School,Fail
687,9,112,55,No,Bachelor,Fail
688,8,33,44,Yes,Doctorate,Fail
689,14,0,70,No,High School,Fail
690,12,61,69,No,Associate,Fail
691,8,48,67,Yes,High School,Fail
692,16,77,73,No,High School,Pass
693,5,78,35,Yes,Doctorate,Pass
694,13,114,54,No,Master,Pass
695,13,93,69,No,Associate,Fail
696,8,65,80,Yes,Bachelor,Fail
697,12,85,69,,Master,Fail
698,4,0,82,No,Bachelor,Pass
699,15,78,55,No,High School,Pass
700,9,77,56,No,Doctorate,Pass
701,7,57,59,No,Bachelor,Pass
702,15,71,64,Yes,Master,Fail
703,6,61,38,No,High School,Pass
704,3,56,65,,Doctorate,Fail
705,2,88,64,Yes,Associate,Fail
706,13,96,56,Yes,,Fail
707,4,85,54,No,Associate,Pass
708,19,66,0,No,High School,Fail
709,0,62,74,Yes,Bachelor,Fail
710,18,67,67,No,Doctorate,Fail
711,11,71,67,No,Master,Fail
712,10,58,64,No,Master,Fail
713,7,96,65,Yes,Master,Fail
714,12,71,75,No,High School,Fail
715,10,90,89,No,High School,Pass
716,16,47,87,No,Doctorate,Pass
717,11,61,49,No,High School,Pass
718,11,92,33,Yes,Doctorate,Pass
719,8,92,73,No,Bachelor,Pass
720,10,51,65,Yes,,Pass
721,12,81,64,No,Associate,Fail
722,1,82,71,No,High School,Pass
723,3,61,61,No,Bachelor,Pass
724,14,82,41,Yes,,Pass
725,11,43,48,No,Bachelor,Pass
726,9,56,49,,High School,Pass
727,10,87,75,No,Master,
728,12,76,93,Yes,Master,Fail
729,7,77,58,Yes,Associate,Fail
730,6,72,104,No,High School,Pass
731,11,86,37,Yes,Associate,Fail
732,5,87,57,Yes,Associate,Fail
733,12,91,68,No,Bachelor,Fail
